Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,Year,Honor Code Certificates,Participants (Course Content Accessed),Audited (> 50% Course Content Accessed),Certified,% Audited,% Certified,% Certified of > 50% Course Content Accessed,% Played Video,% Posted in Forum,% Grade Higher Than Zero,Total Course Hours (Thousands),Median Hours for Certification,Median Age,% Male,% Female,% Bachelor's Degree or Higher
MITx,6.002x,01/20/2015,Circuits and Electronics,Anant Agarwal,"Science, Technology, Engineering, and Mathematics",3,1,22828,886,202,3.88,0.88,22.35,63.11,2.43,7.2,99.42,114.37,25,88.09,11.91,54.57
MITx,21W.789x,02/02/2015,Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,3,1,18454,729,45,3.95,0.24,6.17,58.24,3.89,10.65,24.59,41.23,28,82.8,17.2,71.79
MITx,14.73x,02/03/2015,The Challenges of Global Poverty,"Duflo, Banerjee","Government, Health, and Social Science",3,1,7664,908,594,11.85,7.75,65.42,67.18,5.78,30.3,66.87,61.4,28,51.51,48.49,78.56
MITx,6.041x,02/03/2015,Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jailet, Dimitri Bertsekas","Science, Technology, Engineering, and Mathematics",3,1,22537,2288,410,10.15,1.82,17.92,65.99,2.6,14.47,217.1,167.72,27,83.37,16.63,73.49
MITx,6.341x,02/03/2015,Discrete-Time Signal Processing,"Oppenheim, Baran","Science, Technology, Engineering, and Mathematics",3,1,7396,532,144,7.19,1.95,27.07,64.06,2.99,16.87,48.98,151.31,27,91.4,8.6,72.54
HarvardX,1368.4x,02/09/2015,"Saving Schools: History, Politics, and Policy in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",3,1,1465,578,380,39.48,25.96,64.71,62.91,19.06,45.22,3.16,4.86,35,48.5,51.5,81.63
HarvardX,SPU30x,02/10/2015,Super-Earths and Life,Dimitar Sasselov,"Science, Technology, Engineering, and Mathematics",3,1,7008,3248,961,46.37,13.72,29.59,49.74,11.99,38.66,21.03,10.97,28.5,68.61,31.39,60.75
MITx,3.072x,02/10/2015,"Symmetry, Structure and Tensor Properties of Materials",Eugene Fitzgerald,"Science, Technology, Engineering, and Mathematics",3,1,5448,404,31,7.42,0.57,7.67,55.49,2.24,10.55,11.54,73.46,26,83.12,16.88,69.8
MITx,8.05x,02/10/2015,Mastering Quantum Mechanics,Barton Zwiebach,"Science, Technology, Engineering, and Mathematics",3,1,10932,1193,393,10.91,3.59,32.94,71.33,8.03,16.57,187.44,251.82,26,87.19,12.81,64.49
HarvardX,EMC2x,02/11/2015,The Einstein Revolution,Peter Galison,"Humanities, History, Design, Religion, and Education",3,1,11705,1186,195,10.14,1.67,16.44,73.04,7.43,14.72,40.5,42.22,29,72.91,27.09,66.55
HarvardX,HKS211.2x,02/12/2015,"Central Challenges in American National Security, Strategy and the Press","Graham Allison, David Sanger","Government, Health, and Social Science",3,1,6454,2042,813,31.65,12.6,39.76,64.29,7.39,25.57,20.36,11.86,30,69.09,30.91,73.65
HarvardX,PH525.2x,02/16/2015,Introduction to Linear Models and Matrix Algebra,Rafael Irizarry,"Government, Health, and Social Science",3,1,12007,9446,1404,78.7,11.7,14.86,58.98,1.57,24.14,27.9,9.97,30,80.48,19.52,83.51
MITx,3.091x,02/26/2015,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",3,1,3661,190,65,5.19,1.78,34.21,65.61,4.89,15.6,29.49,133.54,26,76.03,23.97,59.58
HarvardX,PH525.3x,03/02/2015,Advanced Statistics for the Life Sciences,Rafael Irizarry,"Government, Health, and Social Science",3,1,9266,3389,638,36.6,6.89,18.83,49.18,4.52,16.97,37.84,31.97,31,71.96,28.04,90.17
MITx,6.004.1x,03/03/2015,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,3,1,15530,2363,805,15.22,5.18,33.81,64.37,5.71,14.92,126.65,72.18,26,89.5,10.5,59.24
MITx,15.071x,03/03/2015,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair","Government, Health, and Social Science",3,1,26776,5638,3101,21.06,11.58,55,74.91,10.66,50.42,648.95,119.51,31,80.71,19.29,86.68
MITx,16.00x,03/03/2015,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,Jeffrey Hoffman,"Science, Technology, Engineering, and Mathematics",3,1,13525,3638,885,26.9,6.54,24.33,70.59,10.03,24.39,121.16,47.06,24,84.5,15.5,52.15
MITx,6.00.2x,03/04/2015,Introduction to Computational Thinking and Data Science,Eric Grimson,Computer Science,3,1,14835,2599,1656,17.52,11.16,63.6,70.27,6.42,31.27,159.01,63.36,28,85.33,14.67,75.51
HarvardX,HLS3x,03/10/2015,JuryX: Deliberations for Social Change,Charles Nesson,"Government, Health, and Social Science",3,1,4091,977,379,23.92,9.28,38.69,65.36,14.27,15.4,5.88,3.55,27,55.72,44.28,62.24
MITx,7.28.1x,03/10/2015,Molecular Biology: DNA Replication and Repair,"Stephen Bell, Tania Baker","Science, Technology, Engineering, and Mathematics",3,1,7723,1567,430,20.29,5.57,27.44,69.33,6.32,30.45,98.6,94.34,28,58.52,41.48,70.24
HarvardX,AMPOx.4,03/18/2015,Poetry in America: Emily Dickinson,Elisa New,"Humanities, History, Design, Religion, and Education",3,1,5261,1823,348,34.7,6.62,19.09,74.63,17.7,26.11,20.14,19.02,38,33.26,66.74,75.48
MITx,15.662x,03/23/2015,The American Dream for the Next Generation,Thomas Kochan,"Government, Health, and Social Science",3,1,5084,1039,277,20.44,5.45,26.66,69.81,10.64,25.83,20.5,21.18,29,63.13,36.87,73.47
HarvardX,PH525.4x,03/30/2015,Introduction to Bioconductor,Rafael Irizarry,"Government, Health, and Social Science",3,1,4785,2174,453,45.49,9.48,20.84,58.67,4.6,21.55,29.02,34.43,30,71.98,28.02,86.92
MITx,15.390.1x,03/31/2015,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",3,1,25206,4402,715,17.46,2.84,12.7,67.34,7.55,2.84,64.07,9.09,28,74.09,25.91,69.67
MITx,11.127x,04/01/2015,Design and Development of Games for Learning,Eric Klopfer,"Humanities, History, Design, Religion, and Education",3,1,15282,3012,513,19.71,3.36,17.03,60.42,0.01,16.08,36.12,16.89,30,72.81,27.19,72.15
MITx,JPAL 101x,04/01/2015,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",3,1,3922,1107,404,28.23,10.3,36.5,63.87,8.64,36.69,34.15,39.26,31,51.09,48.91,90.65
MITx,3.15x,04/08/2015,"Electrical, Optical and Magnetic Materials and Devices",Caroline Ross,"Science, Technology, Engineering, and Mathematics",3,1,10626,685,113,6.45,1.06,16.5,50.84,1.38,7.15,30.79,99.23,25,86.95,13.05,60.39
HarvardX,PH525.5x,04/27/2015,"Data Analysis for Genomics: Case Study, RNA Sequence Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",3,1,4262,3518,377,82.6,8.85,10.72,60.48,2.04,24.04,12.86,12.15,30,65.11,34.89,90.87
HarvardX,PH525.6x,04/27/2015,"Data Analysis for Genomics: Case study, Variant Discovery and Genotyping",Rafael Irizarry,"Government, Health, and Social Science",3,1,2428,1864,209,77.02,8.64,11.21,59.01,3.51,18.64,8.35,15.58,30,64.2,35.8,87.88
HarvardX,PH525.7x,04/27/2015,"Data Analysis for Genomics: Case study, ChIP Sequence Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",3,1,2250,1884,252,83.96,11.23,13.38,52.54,2.14,24.91,3.6,4.14,30,68.59,31.41,89.94
HarvardX,PH525.8x,04/27/2015,"Data Analysis for Genomics: Case study, DNA Methylation Data Analysis",Rafael Irizarry,"Government, Health, and Social Science",3,1,2656,2066,226,77.9,8.52,10.94,48.94,2.34,18.4,5.33,11.09,29,65.34,34.66,83.74
MITx,15.390.2x,05/01/2015,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",3,1,6137,1296,184,21.12,3,9.88,55.99,1.4,2.97,11.95,8.72,28,74.22,25.78,71.62
HarvardX,BUS5.1x,05/05/2015,Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",3,1,9185,5824,183,63.46,1.99,3.14,46.81,6.72,6.28,13.23,14.92,30,61.48,38.52,84.74
HarvardX,AMPOx.5,05/06/2015,Poetry in America: The Civil War and Its Aftermath,Elisa New,"Humanities, History, Design, Religion, and Education",3,1,2479,1076,196,43.51,7.93,18.22,65.91,15.89,24.67,7.49,14.8,39,41.25,58.75,73.39
HarvardX,GSE3x,05/12/2015,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,"Humanities, History, Design, Religion, and Education",4,1,8286,1784,807,21.54,9.74,45.24,62.44,0.1,21.02,20.03,9.66,35,46.39,53.61,87.58
MITx,CTL.SC1x,05/27/2015,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",3,1,19996,3481,1392,17.41,6.96,39.99,69.82,16.42,20.19,344.95,131.05,29,75.98,24.02,81.29
MITx,8.MECHCx,05/28/2015,Advanced Introductory Classical Mechanics,David E. Pritchard,"Science, Technology, Engineering, and Mathematics",3,1,8088,473,168,5.85,2.08,35.52,59.99,5.82,13.67,67.6,182.95,24,79.36,20.64,48.24
MITx,UINOV8x,06/01/2015,User Innovation: A Path to Entrepreneurship,Eric von Hippel,"Government, Health, and Social Science",3,1,41361,4413,1232,10.67,2.98,26.38,62.1,2.41,2.98,69.95,9.18,27,73.08,26.92,68.73
MITx,18.01.1x,06/02/2015,Calculus: Differentiation,David Jerison,"Science, Technology, Engineering, and Mathematics",3,1,18266,3734,658,20.44,3.6,17.62,63.22,5.68,20.32,218.27,117.82,26,79.66,20.34,55.67
MITx,15.071x,06/02/2015,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair","Government, Health, and Social Science",3,1,31551,5015,1950,15.89,6.18,38.88,69.88,5.98,30.91,547.35,120.1,28,81.25,18.75,84.94
MITx,24.118x,06/09/2015,Paradox and Infinity,Augustin Rayo,"Humanities, History, Design, Religion, and Education",3,1,12426,1990,699,16.01,5.63,35.13,73.7,7.39,19.5,83.98,43.53,27,74.85,25.15,61.12
MITx,6.00.1x,06/10/2015,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,3,1,53964,9583,5243,17.76,9.72,54.68,77.31,7.6,49,895.01,86.65,25,78.53,21.47,64.59
MITx,0.111x,06/15/2015,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Felice Frankel,"Science, Technology, Engineering, and Mathematics",3,1,6934,1456,126,21,1.82,8.65,69.44,9.97,3.95,15.61,24.54,29,68.95,31.05,76.69
HarvardX,MCB63x,06/16/2015,Principles of Biochemistry,"Alain Viel, Rachelle Gaudet","Science, Technology, Engineering, and Mathematics",4,1,31710,13275,789,41.87,2.49,5.94,55.96,4.37,9.91,90.12,35.11,24,54.05,45.95,59
HarvardX,SPU27x,06/17/2015,Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,"Science, Technology, Engineering, and Mathematics",4,1,48922,3793,504,7.75,1.03,13.26,63.28,7.3,13.33,67.71,12.28,30,47.81,52.19,69.11
MITx,10.03x,07/14/2015,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Stacy Springs","Government, Health, and Social Science",3,1,4404,2012,638,45.69,14.49,31.71,68.51,17.73,40.8,41.5,29.18,28,59.53,40.47,74.49
MITx,11.133x,07/15/2015,Implementation and Evaluation of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",3,1,4518,1266,471,28.02,10.42,36.97,58.5,0,22.02,11.99,9.52,34,60.32,39.68,87.64
MITx,7.28.1x,08/04/2015,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",4,1,5725,865,209,15.11,3.65,24.16,65.17,7.35,37.05,43.57,85.86,28,55.7,44.3,72.99
HarvardX,USW30x,08/05/2015,Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",3,1,4794,897,353,18.71,7.36,39.35,66.58,23.8,24.7,10.93,11.04,32,34.31,65.69,75.32
MITx,6.00.1x,08/26/2015,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",Computer Science,4,1,54361,7661,3411,14.09,6.27,44.49,70.35,6.07,37.54,567.96,74.39,26,81.45,18.55,66.28
MITx,6.004.1x,09/01/2015,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Wachman",Computer Science,4,1,16094,1910,377,11.87,2.34,19.74,62.85,0,7.08,97.06,72.89,24,87.37,12.63,55.59
HarvardX,HKS101A,09/08/2015,Introduction to American Government,Thomas Patterson,"Government, Health, and Social Science",3,1,16005,1627,623,10.17,3.89,36.94,54.95,13.95,18.98,63.24,29.99,27,58.38,41.62,61.59
MITx,3.091x,09/08/2015,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",4,1,4767,278,99,5.83,2.08,35.61,65.47,4.82,9.63,41.98,157,25,75.55,24.45,61.27
MITx,3.032.1x,09/09/2015,Mechanical Behavior of Materials: Linear Elastic Behavior,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,6577,2392,445,36.37,6.77,18.27,63.21,4.64,13.2,40.32,32.79,25,83.34,16.66,67.57
MITx,15.671x,09/10/2015,"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science",4,1,23087,4711,1606,20.41,6.96,33.47,62.56,0,19.73,166.11,31.24,39,51.21,48.79,86.69
HarvardX,VJx,09/15/2015,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa","Humanities, History, Design, Religion, and Education",4,1,2175,588,330,27.03,15.17,56.12,72.41,20.51,41.24,11.83,22.34,30,56.37,43.63,73.26
HarvardX,HUM1.1x,09/21/2015,History of the Book: Making and Meaning in the Medieval Manuscript,"Jeffrey Hamburger, Bill Stoneman","Humanities, History, Design, Religion, and Education",4,1,4033,1516,460,37.59,11.41,27.18,73.47,4.76,11.41,11.11,5.88,36,39.11,60.89,75.55
HarvardX,HUM1.2x,09/21/2015,History of the Book: Scrolls in the Age of the Book,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,1,2085,859,390,41.2,18.71,44.82,66.19,4.8,18.71,4.95,4.93,36,42.26,57.74,73.88
HarvardX,HUM1.3x,09/21/2015,"History of the Book: Print and Manuscript in Western Europe, Asia and the Middle East (1450-1650)",Ann Blair,"Humanities, History, Design, Religion, and Education",4,1,1732,788,361,45.5,20.84,44.8,69.34,3.98,20.84,4.39,4.79,35.5,42.24,57.76,79.85
HarvardX,HUM1.4x,09/21/2015,History of the Book: The History of the Book in the 17th and 18th Century Europe,Robert Darnton,"Humanities, History, Design, Religion, and Education",4,1,2587,1448,502,55.97,19.4,34.6,67.53,1.43,19.4,5.71,4.28,32,38.04,61.96,73.64
HarvardX,HUM1.5x,09/21/2015,History of the Book: Book Sleuthing: What 19th-Century Books Can Tell Us About the Rise of the Reading Public,Leah Price,"Humanities, History, Design, Religion, and Education",4,1,2862,1328,443,46.4,15.48,33.21,69.01,7.65,15.48,3.35,2.09,35,33.38,66.62,72.64
HarvardX,HUM1.6x,09/21/2015,"History of the Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive",Dan Smail,"Humanities, History, Design, Religion, and Education",4,1,1602,662,243,41.32,15.17,35.2,70.85,4.99,15.17,6.13,9.13,36,41.66,58.34,72.64
HarvardX,HUM1.7x,09/21/2015,"History of the Book: Monasteries, Schools, and Notaries, Part 2: Introduction to the Transitional Gothic Script",Beverly Kienzle,"Humanities, History, Design, Religion, and Education",4,1,670,364,191,54.33,28.51,51.37,64.93,7.01,28.51,3.49,8.25,39,44.76,55.24,77.52
HarvardX,HUM1.8x,09/21/2015,History of the Book: The Medieval Book of Hours: Art and Devotion in the Later Middle Ages,"Jeffrey Hamburger, Bill Stoneman","Humanities, History, Design, Religion, and Education",4,1,1472,325,189,22.08,12.84,44.31,66.92,6.79,12.84,6.93,12.48,38,37.91,62.09,76.11
HarvardX,HUM1.9x,09/21/2015,History of the Book: Books in the Medieval Liturgy,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,1,1698,661,330,38.93,19.43,49.32,65.37,4.89,19.43,4.51,5.54,33,46.2,53.8,70.79
MITx,14.74x,09/21/2015,Foundations of Development Policy: Advanced Development Economics,"Abhijit Vinayak Banerjee, Esther Duflo, Benjamin Olken","Government, Health, and Social Science",4,1,7532,742,360,9.85,4.78,48.52,58.87,6.63,27.02,77.46,104.81,28,59.91,40.09,85.32
MITx,8.421.1x,09/21/2015,Atomic and Optical Physics: Resonance,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",4,1,6129,1478,199,24.11,3.25,13.46,69.15,3.9,10.2,18.64,24.68,26,86.64,13.36,68.83
MITx,4.605x,09/22/2015,A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",4,1,5724,908,498,15.86,8.7,54.85,62.35,10.13,21.24,77.42,83.16,29,47.24,52.76,74.29
MITx,16.101x,09/28/2015,Introduction to Aerodynamics,David L. Darmofal,"Science, Technology, Engineering, and Mathematics",4,1,18732,736,66,3.93,0.35,8.83,0,2.68,4.6,51.1,138.06,23,89.27,10.73,53.08
MITx,6.002.1x,09/29/2015,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",4,1,38119,5451,591,14.3,1.55,10.62,69.08,2.01,1.55,174.06,48.13,25,87.36,12.64,52.02
MITx,6.002.2x,09/29/2015,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",4,1,6146,1266,171,20.6,2.78,13.35,48.97,1.46,2.78,28.65,52.62,24,89.55,10.45,58.46
MITx,6.002.3x,09/29/2015,Circuits and Electronics: Applications,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",4,1,5566,805,95,14.46,1.71,11.18,44.39,1.04,1.71,17.95,53.73,24,88.81,11.19,59.47
MITx,CTL.SC2x,09/30/2015,Supply Chain Design,"Chris Caplice, Yossi Sheffi, James Blayney Rice Jr., Jarrod Goentzel","Government, Health, and Social Science",4,1,14679,3836,1848,26.13,12.59,48.18,74.52,12.98,26.53,316.74,115.81,29,78.21,21.79,85.02
HarvardX,GOV1368.1x,10/01/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",4,1,3126,581,246,18.59,7.87,42.34,61.1,10.04,7.87,8.08,10.69,29,40.14,59.86,72.04
HarvardX,GOV1368.2x,10/01/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education",4,1,702,348,180,49.57,25.64,51.72,55.98,11.54,25.64,1.85,4.65,31,48.98,51.02,80.42
HarvardX,GOV1368.3x,10/01/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,"Humanities, History, Design, Religion, and Education",4,1,492,246,127,50,25.81,51.22,54.07,8.54,25.81,1.18,3.67,30,49.09,50.91,78.86
HarvardX,GOV1368.4x,10/01/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – School Choice",Paul Peterson,"Humanities, History, Design, Religion, and Education",4,1,511,212,113,41.49,22.11,53.3,49.71,5.68,22.11,1.08,4.44,31,48.48,51.52,74.39
HarvardX,ER22x,10/01/2015,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",4,1,30699,3607,1726,11.75,5.62,45.77,66.93,10.5,20.25,109.74,16.72,26,57.56,42.44,66.5
MITx,6.832x,10/01/2015,Underactuated Robotics,"Russ Tedrake, Robin Deits, Twan Koolen","Science, Technology, Engineering, and Mathematics",4,1,10191,1066,148,10.46,1.45,13.79,59.74,0,7.12,45.06,74.06,24,91.04,8.96,61.19
MITx,20.305x,10/05/2015,Principles of Synthetic Biology,"Adam Arkin, Ron Weiss","Science, Technology, Engineering, and Mathematics",4,1,11574,418,106,3.61,0.92,25.12,54.94,4.18,5.19,83.14,181.45,25,72.81,27.19,66.14
MITx,JPAL101x,10/05/2015,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",4,1,4187,677,190,16.17,4.54,28.06,54.93,5.18,19.3,21.5,38.13,30,50.77,49.23,89.92
HarvardX,SPU30x,10/13/2015,Super-Earths and Life,Dimitar Sasselov,"Science, Technology, Engineering, and Mathematics",4,1,29176,11250,4918,38.56,16.86,43.72,51.96,26.62,52.35,109,13.47,26,60.09,39.91,44.95
MITx,3.032.2x,10/14/2015,"Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,3178,1810,320,56.95,10.07,17.62,55.44,4.56,15.8,20.12,31.84,25,86.14,13.86,69.15
HarvardX,PH525.1x,10/15/2015,Data Analysis for Genomics: Statistics and R,Rafael Irizarry,"Government, Health, and Social Science",4,1,18540,6950,793,37.49,4.28,11.41,60.5,3.07,4.28,64.81,23.29,28,65.94,34.06,84.7
MITx,8.421.2x,10/19/2015,Atomic and Optical Physics: Atomic structure and atoms in external field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",4,1,1178,484,94,41.09,7.98,19.42,59.76,6.2,22.16,9.8,50.19,27,86.54,13.46,71.11
MITx,6.00.2x,10/20/2015,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag, Ana Bell",Computer Science,4,1,12426,2338,1516,18.82,12.2,64.76,70.46,7.48,31.47,167.8,69.53,28,85.39,14.61,74.43
HarvardX,SW12.1x,10/27/2015,Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,6519,888,254,13.62,3.9,28.04,78.74,12.59,3.91,25.68,20.82,28,60.75,39.25,71.15
HarvardX,SW12.2x,10/27/2015,The Creation and End of Centralized Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,849,275,112,32.39,13.19,36.73,76.44,20.26,13.19,6.84,20.91,30,64.29,35.71,75.56
HarvardX,SW12.3x,10/27/2015,Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,729,202,92,27.71,12.62,39.6,79.15,14.95,12.62,3.44,12.5,28,54.39,45.61,73.78
HarvardX,SW12.4x,10/27/2015,Literati China: Examinations and Neo-Confucianism,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,427,195,58,45.67,13.58,29.23,66.51,17.8,13.58,3.11,18.05,31,66.38,33.62,73.96
HarvardX,SW12.5x,10/27/2015,From a Global Empire under the Mongols to a Global Economy under the Ming Dynasty,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,461,197,66,42.73,14.32,33.5,67.03,11.71,14.32,2.27,15.9,31,66.67,33.33,77.47
MITx,10.03x,10/27/2015,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller","Government, Health, and Social Science",4,1,2599,1172,436,45.09,16.78,37.2,69.41,16.93,42.17,30.39,33.65,28,59.53,40.47,76.87
MITx,7.28.2x,10/27/2015,Molecular Biology: Transcription and Transposition,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",4,1,2860,920,333,32.17,11.64,36.2,63.64,6.78,33.36,47.23,77.55,29,59.1,40.9,76.33
HarvardX,SW12.10x,11/02/2015,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,948,246,65,25.95,6.86,26.42,74.26,8.44,6.86,4.94,20.87,27,66.45,33.55,73.56
HarvardX,SW12.6x,11/02/2015,The Manchus and the Qing Dynasty,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,1381,257,145,18.61,10.5,46.3,72.56,9.12,10.57,3.66,8.38,26,60.8,39.2,68.16
HarvardX,SW12.7x,11/02/2015,"Invasions, Rebellions and the Fall of Imperial China","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,385,199,67,51.69,17.4,33.67,72.73,18.7,17.4,2.03,12.05,31,60.84,39.16,79.67
HarvardX,SW12.8x,11/02/2015,Creating Modern China: The Birth of a Nation,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,422,195,56,46.21,13.27,28.72,73.22,14.22,13.27,2.02,12.21,30,62.09,37.91,79.69
HarvardX,SW12.9x,11/02/2015,China and Communism,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",4,1,515,192,60,37.28,11.65,31.25,74.17,11.07,11.65,1.95,10.3,27,68.67,31.33,74.94
HarvardX,VJx,11/10/2015,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa","Humanities, History, Design, Religion, and Education",4,1,4842,770,249,15.9,5.14,32.34,68.26,7.43,5.14,18.37,25.89,26,58.87,41.13,65.96
MITx,3.032.3x,11/11/2015,Mechanical Behavior of Materials: Time Dependent Behavior and Failure,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,2075,753,179,36.29,8.63,23.51,53.69,4.24,15.71,14.81,43.47,25,85.25,14.75,75.33
HarvardX,PH525.2x,11/15/2015,Data Analysis for Genomics: Matrix Algebra and Linear Models,Rafael Irizarry,"Government, Health, and Social Science",4,1,3654,1850,444,50.63,12.15,24,54.71,1.7,12.15,10.6,11.25,29,74.66,25.34,84.27
HarvardX,MUS24x,11/16/2015,First Nights: Handel’s Messiah and Baroque Oratorio,Tom Kelly,"Humanities, History, Design, Religion, and Education",4,1,3806,1790,478,47.03,12.56,26.7,78.09,14.61,12.56,12.87,8.41,36,52.87,47.13,71.11
MITx,8.421.3x,11/16/2015,Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",4,1,790,290,63,36.71,7.97,21.72,55.06,6.58,17.09,6.44,56.85,26,87.2,12.8,71.74
MITx,6.004.2x,11/17/2015,Computation Structures: Computer Architecture,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,4,1,8495,1161,406,13.67,4.78,34.97,49.38,4.13,7.68,56.13,80.09,25,88.58,11.42,61.03
MITx,24.09x,11/17/2015,Philosophy: Minds and Machines,Alex Byrne,"Humanities, History, Design, Religion, and Education",4,1,10837,997,383,9.2,3.53,37.81,61.87,7.93,8.41,94.63,73.07,29,73.34,26.66,67.25
MITx,18.01.2x,12/01/2015,Calculus: Integration,David Jerison,"Science, Technology, Engineering, and Mathematics",4,1,7260,1216,336,16.75,4.63,27.63,59.39,5.99,17.41,114.85,170.68,25,81.46,18.54,51.52
