Breed,Age (Years),Weight (kg),Color,Gender
Bengal,18,9,Blue,Male
Tonkinese,19,4,Bicolor,Female
Siberian,6,3,Orange,Female
Chartreux,18,8,Blue,Female
Ocicat,9,7,Orange,Male
Himalayan,18,6,Black,Female
Ragdoll,11,7,Brown,Male
Siberian,8,8,Calico,Male
Egyptian Mau,12,2,Tricolor,Female
Singapura,15,7,Pointed,Male
Birman,1,3,Red,Male
Manx,2,8,Calico,Male
Chartreux,2,6,Pointed,Male
Siberian,5,6,Bicolor,Female
Sphynx,13,7,Blue,Male
Tonkinese,9,7,Orange,Male
Devon Rex,19,7,Orange,Male
Manx,13,5,Tabby,Male
Turkish Angora,4,6,Calico,Male
Cornish Rex,11,3,Orange,Male
Sphynx,8,3,Tricolor,Female
Maine Coon,15,2,Sable,Male
Sphynx,9,5,Cream,Male
British Shorthair,15,2,Tortoiseshell,Male
Russian Blue,4,9,Gray,Male
Singapura,4,8,Orange,Female
Scottish Fold,18,2,Sable,Female
Ocicat,13,6,Bicolor,Female
Tonkinese,14,8,Sable,Male
Turkish Angora,8,2,Tricolor,Female
Birman,16,4,Brown,Male
Abyssinian,15,5,Sable,Male
Siberian,8,6,Brown,Female
Sphynx,11,4,Tortoiseshell,Male
Norwegian Forest,14,3,Red,Male
Ocicat,19,5,Tortoiseshell,Male
Scottish Fold,2,9,Sable,Female
Ragdoll,12,3,Tabby,Male
Scottish Fold,19,7,Cream,Male
American Shorthair,15,8,Brown,Male
Manx,6,3,Tricolor,Female
Ocicat,9,6,White,Male
Manx,19,4,Orange,Female
Ragdoll,3,5,Orange,Female
Exotic Shorthair,12,6,White,Male
Turkish Angora,13,2,Calico,Female
American Shorthair,12,5,Tabby,Female
Sphynx,9,6,Tricolor,Female
Singapura,5,9,Sable,Male
Bengal,18,5,Brown,Female
Himalayan,13,9,Cream,Male
Sphynx,18,5,Calico,Female
Burmese,11,8,Brown,Female
Ragdoll,17,6,Tabby,Male
Sphynx,11,3,Orange,Female
Birman,12,8,Tricolor,Female
Bengal,3,3,Tabby,Male
Singapura,11,8,Blue,Female
Himalayan,13,6,White,Female
Cornish Rex,18,5,Bicolor,Female
Burmese,8,3,Brown,Male
Maine Coon,17,4,Sable,Female
American Shorthair,11,2,Blue,Male
Maine Coon,3,2,Brown,Male
Turkish Angora,16,4,Black,Female
Himalayan,12,9,Pointed,Female
Abyssinian,15,8,Sable,Female
Chartreux,10,4,Tricolor,Female
Savannah,4,4,Black,Female
Turkish Angora,17,5,Blue,Male
Devon Rex,1,3,Tabby,Female
Balinese,14,4,Blue,Female
Maine Coon,7,6,Tortoiseshell,Male
Himalayan,5,7,Brown,Female
Exotic Shorthair,4,2,Gray,Male
Russian Blue,18,2,Sable,Female
Tonkinese,17,4,Brown,Male
Turkish Angora,8,3,Black,Male
Tonkinese,12,4,Tabby,Male
Persian,3,6,Blue,Female
Siamese,9,4,White,Female
Egyptian Mau,9,5,Bicolor,Female
Cornish Rex,7,9,Orange,Male
Munchkin,2,8,Orange,Male
Manx,5,8,Brown,Male
Turkish Angora,12,8,Cream,Male
American Shorthair,6,8,Pointed,Male
Savannah,8,4,Bicolor,Male
Balinese,11,5,Brown,Female
Oriental,10,3,Tortoiseshell,Male
Turkish Angora,19,8,Gray,Male
Persian,6,7,Brown,Female
Russian Blue,14,8,Gray,Female
Tonkinese,16,3,Calico,Female
Oriental,13,9,Bicolor,Female
American Shorthair,12,6,Brown,Female
Bengal,1,3,Orange,Female
Abyssinian,15,5,Red,Male
Ragdoll,8,3,Bicolor,Female
Devon Rex,1,5,Tortoiseshell,Female
Russian Blue,2,6,Gray,Male
Sphynx,16,5,Pointed,Male
Balinese,14,4,Tortoiseshell,Female
Siberian,12,8,Gray,Male
Devon Rex,16,3,Bicolor,Male
Siberian,5,8,Gray,Female
American Shorthair,11,8,Blue,Male
Egyptian Mau,8,2,Brown,Male
Himalayan,11,8,Cream,Female
Abyssinian,12,4,Calico,Female
Singapura,1,7,Red,Female
Himalayan,18,8,Tricolor,Female
Turkish Angora,13,8,Gray,Male
Exotic Shorthair,12,5,Gray,Male
Ragdoll,16,9,Red,Female
Scottish Fold,3,7,Tricolor,Male
Balinese,3,7,Brown,Male
Scottish Fold,11,7,Brown,Male
Maine Coon,5,4,Pointed,Female
Cornish Rex,5,4,Black,Female
Balinese,13,4,Red,Male
Devon Rex,18,8,Bicolor,Male
Scottish Fold,17,8,Tortoiseshell,Male
American Shorthair,16,4,Tricolor,Male
Munchkin,7,5,Black,Female
Singapura,7,3,Tabby,Male
Cornish Rex,17,3,Cream,Male
Balinese,10,4,Orange,Female
Devon Rex,14,2,Calico,Male
Siamese,10,9,Blue,Male
British Shorthair,3,3,Orange,Male
Oriental,10,5,Tricolor,Male
Siamese,15,8,White,Female
Balinese,5,5,Blue,Male
Russian Blue,1,3,Sable,Female
Oriental,11,5,Cream,Male
Manx,14,5,Calico,Female
Munchkin,12,6,Bicolor,Male
Chartreux,3,5,Red,Female
Bengal,6,3,Tortoiseshell,Male
Singapura,8,3,Orange,Male
Bengal,18,7,Brown,Male
Oriental,4,7,Sable,Male
Scottish Fold,16,8,Tricolor,Male
Russian Blue,3,2,Brown,Female
Birman,17,4,Tabby,Female
Maine Coon,19,3,Tortoiseshell,Female
Sphynx,19,5,Black,Female
Abyssinian,11,7,White,Male
Persian,19,7,Sable,Male
Singapura,4,2,Orange,Female
Maine Coon,18,6,Tabby,Male
Singapura,8,9,Orange,Female
Ragdoll,11,8,Gray,Male
Manx,15,7,Black,Male
American Shorthair,6,2,Cream,Female
Burmese,12,5,Tricolor,Male
American Shorthair,11,3,Bicolor,Male
Balinese,11,8,Calico,Male
Munchkin,10,8,Calico,Female
Birman,4,2,Sable,Male
American Shorthair,12,8,Tortoiseshell,Female
Manx,1,5,Red,Female
Burmese,7,6,Brown,Female
Abyssinian,2,7,Cream,Female
Scottish Fold,13,2,White,Female
Ocicat,10,9,Cream,Male
Munchkin,12,5,Brown,Male
Burmese,4,4,White,Male
American Shorthair,10,3,Tortoiseshell,Male
Ragdoll,9,5,Tortoiseshell,Male
Russian Blue,9,4,Brown,Female
Egyptian Mau,10,3,Pointed,Male
Siberian,14,7,Bicolor,Male
Tonkinese,16,9,Pointed,Female
Persian,16,3,Tabby,Male
Scottish Fold,5,3,Blue,Female
Ragdoll,2,4,Tricolor,Female
British Shorthair,6,2,Red,Male
Ocicat,11,7,Sable,Male
Ragdoll,1,4,Tortoiseshell,Male
Manx,7,8,Orange,Female
British Shorthair,4,4,Blue,Female
Egyptian Mau,17,5,Sable,Female
Siamese,4,5,White,Male
American Shorthair,7,6,Cream,Female
American Shorthair,10,9,Red,Female
British Shorthair,6,4,Cream,Male
Balinese,12,4,Orange,Male
Savannah,18,6,Tortoiseshell,Female
Tonkinese,12,4,Tortoiseshell,Male
Persian,4,9,Calico,Female
Bengal,15,4,Brown,Female
Siberian,15,6,Tabby,Female
Oriental,17,6,Blue,Male
Siamese,4,6,Pointed,Male
Maine Coon,7,3,White,Female
Russian Blue,12,5,Calico,Female
Norwegian Forest,7,6,Bicolor,Female
Tonkinese,3,3,Red,Female
Maine Coon,1,9,Sable,Male
Cornish Rex,2,7,Tabby,Male
Russian Blue,5,5,White,Male
Sphynx,14,9,White,Male
British Shorthair,9,9,White,Male
Maine Coon,8,6,Tabby,Female
Scottish Fold,18,9,Red,Male
British Shorthair,9,7,Tabby,Female
Exotic Shorthair,6,4,Calico,Female
British Shorthair,2,4,Tabby,Female
British Shorthair,19,5,Gray,Female
British Shorthair,11,2,Bicolor,Female
Savannah,12,5,Bicolor,Female
American Shorthair,8,3,Tortoiseshell,Female
Chartreux,11,4,Sable,Female
